Result Log
# Experiment Configuration Properties: 
# Using timer seed: true
# Random seed of 10
# Number of runs is 30
# Number of evaluations is 2000
# Population size is 30
# Birth rate is 4
# Mating pool size is 6
# Survival selection bracket size is 5
# Max tree depth is 10
# Parsimony pressure is 0.05
# Convergence termination is 10
# Mutation rate is 0.02
# Using log file logs/config2log.log
# Using world file games/config2world.log
# Using solution file solutions/config2solution.log
# Using ghost solution file solutions/config2ghostsolution.log
# Using survival selection truncation
# Using parent selection fitnessProportional
# Using termination strategy numberOfEvals
# Chose timer seed to be 1480830585037

# GPac Configuration Properties: 
# Width is 10
# Height is 15
# Fruit score is 10
# Time multiplier is 2
# Pill density is 0.5
# Wall density is 0.25
# Fruit spawn probability is 0.05
Run 1
60	7	79
128	12	50
196	17	67
264	12	63
332	16	64
400	11	57
468	14	81
536	11	49
604	15	72
672	12	56
740	11	48
808	10	53
876	12	41
944	11	50
1012	12	50
1080	9	49
1148	12	76
1216	8	64
1284	13	47
1352	8	45
1420	14	48
1488	14	60
1556	13	56
1624	15	79
1692	14	71
1760	15	52
1828	12	47
1896	10	47
1964	13	54
2032	13	47

Run 14
60	14	55
128	14	48
196	15	76
264	17	73
332	19	66
400	17	55
468	18	72
536	22	73
604	11	57
672	18	74
740	19	83
808	17	75
876	20	79
944	13	66
1012	16	81
1080	19	72
1148	12	62
1216	13	63
1284	12	49
1352	14	67
1420	12	61
1488	11	42
1556	13	46
1624	13	60
1692	13	62
1760	13	53
1828	13	58
1896	16	70
1964	11	36
2032	16	67

Run 15
60	13	56
128	14	73
196	17	66
264	9	41
332	16	71
400	16	70
468	14	66
536	16	85
604	16	68
672	17	62
740	19	79
808	14	75
876	14	49
944	11	45
1012	10	41
1080	14	57
1148	12	46
1216	11	52
1284	8	34
1352	9	51
1420	10	60
1488	11	67
1556	13	63
1624	8	56
1692	9	53
1760	16	68
1828	14	50
1896	11	57
1964	12	58
2032	14	58

Run 16
60	19	86
128	16	59
196	18	69
264	15	43
332	17	55
400	12	63
468	12	61
536	15	82
604	12	55
672	11	42
740	10	68
808	13	70
876	15	56
944	16	54
1012	11	65
1080	12	67
1148	11	67
1216	11	67
1284	11	59
1352	13	58
1420	12	47
1488	10	47
1556	12	51
1624	12	49
1692	12	44
1760	8	53
1828	11	45
1896	10	44
1964	10	36
2032	12	44

Run 17
60	14	75
