Result Log
# Experiment Configuration Properties: 
# Using timer seed: true
# Random seed of 10
# Number of runs is 30
# Number of evaluations is 2000
# Population size is 10
# Birth rate is 8
# Mating pool size is 4
# Survival selection bracket size is 5
# Max tree depth is 6
# Parsimony pressure is 0.01
# Convergence termination is 10
# Mutation rate is 0.02
# Using log file logs/config3log.log
# Using world file games/config3world.log
# Using solution file solutions/config3solution.log
# Using ghost solution file solutions/config3ghostsolution.log
# Using survival selection kTournamentWithoutReplacement
# Using parent selection fitnessProportional
# Using termination strategy numberOfEvals
# Chose timer seed to be 1480840456479

# GPac Configuration Properties: 
# Width is 10
# Height is 15
# Fruit score is 10
# Time multiplier is 2
# Pill density is 0.5
# Wall density is 0.25
# Fruit spawn probability is 0.05
Run 1
20	27	94
56	33	54
100	25	85
150	15	76
206	19	67
266	16	75
330	14	65
396	16	96
464	12	84
534	7	53
606	5	37
678	7	50
750	1	41
822	4	57
894	8	77
966	6	106
1038	2	72
1110	2	91
1182	0	43
1254	1	63
1326	0	54
1398	0	55
1470	0	76
1542	-3	50
1614	-3	46
1686	-3	66
1758	-8	53
1830	-20	38
1902	-29	57
1974	-40	44
2046	-52	38

Run 2
20	17	49
56	22	50
100	41	94
150	44	76
206	32	80
266	37	53
330	37	75
396	39	91
464	36	75
534	37	83
606	34	73
678	43	78
750	31	65
822	39	60
894	36	77
966	37	75
1038	35	77
1110	34	60
1182	37	73
1254	34	71
1326	42	79
1398	40	82
1470	35	84
1542	24	81
1614	10	57
1686	7	74
1758	0	100
1830	-6	66
1902	-27	91
1974	-26	72
2046	-52	56

Run 3
20	15	41
56	27	50
100	18	47
150	14	69
206	6	63
266	7	24
330	17	35
396	19	64
464	17	44
534	13	27
606	12	37
678	8	23
750	11	25
822	10	52
894	8	49
966	5	21
1038	3	32
1110	5	20
1182	11	32
1254	4	44
1326	9	35
1398	8	30
1470	4	25
1542	3	29
1614	0	36
1686	-2	34
1758	-9	25
1830	-17	32
1902	-19	30
1974	-23	28
2046	-23	34

Run 4
20	7	16
56	29	74
100	23	49
150	18	54
206	16	55
266	12	56
330	23	80
396	34	58
464	29	57
534	34	80
606	32	72
678	29	64
750	31	63
822	24	60
894	26	62
966	21	59
1038	25	66
1110	27	62
1182	28	100
1254	30	70
1326	27	66
1398	22	76
1470	22	62
1542	19	41
1614	21	58
1686	24	77
1758	13	52
1830	13	62
1902	5	49
1974	4	60
2046	2	54

Run 5
20	30	66
56	42	64
100	28	79
150	18	41
206	16	67
266	11	38
330	11	26
396	10	28
464	13	38
534	8	22
606	13	32
678	11	41
750	11	48
822	12	39
894	10	24
966	11	25
1038	42	62
1110	41	72
1182	41	80
1254	42	73
1326	33	63
1398	39	75
1470	46	86
1542	46	93
1614	48	78
1686	40	87
1758	49	81
1830	39	71
1902	33	73
1974	42	69
2046	43	85

Run 6
20	21	67
56	13	56
100	19	50
150	28	76
206	35	86
266	33	75
330	34	82
396	32	63
464	37	91
534	29	57
606	31	62
678	21	73
750	34	65
822	34	76
894	32	70
966	27	62
1038	20	39
1110	23	52
1182	19	48
1254	15	50
1326	17	40
1398	16	34
1470	14	48
1542	16	37
1614	20	52
1686	15	37
1758	17	57
1830	16	44
1902	16	41
1974	17	59
2046	11	40

Run 7
20	11	41
56	16	45
100	16	67
150	24	84
206	20	62
266	23	65
330	24	62
396	24	61
464	17	67
534	20	62
606	9	53
678	20	70
750	27	71
822	33	72
894	23	66
966	18	62
1038	19	63
1110	20	58
1182	29	83
1254	30	80
1326	19	68
1398	30	86
1470	20	54
1542	28	85
1614	25	53
1686	11	52
1758	20	77
1830	17	51
1902	16	59
1974	13	64
2046	13	49

Run 8
20	16	51
56	25	60
100	25	50
150	27	72
206	22	52
266	31	62
330	40	78
396	34	70
464	30	67
534	34	86
606	38	71
678	40	75
750	38	74
822	40	70
894	38	77
966	32	96
1038	35	66
1110	27	61
1182	37	59
1254	40	62
1326	44	72
1398	39	71
1470	43	93
1542	45	69
1614	38	84
1686	41	71
1758	48	69
1830	31	60
1902	38	83
1974	45	88
2046	43	71

Run 9
20	11	59
56	8	63
100	5	31
150	5	62
206	4	72
266	5	44
330	8	47
396	22	67
464	27	57
534	27	54
606	31	80
678	22	67
750	17	58
822	21	81
894	15	56
966	10	44
1038	17	69
1110	8	37
1182	11	49
1254	7	49
1326	5	57
1398	4	64
1470	3	65
1542	0	68
1614	-4	52
1686	0	54
1758	-4	34
1830	-3	50
1902	-6	43
1974	-8	43
2046	-5	42

Run 10
20	23	45
56	19	62
100	11	52
150	8	56
206	7	58
266	4	41
330	5	50
396	1	51
464	-1	32
534	1	66
606	12	89
678	21	57
750	21	76
822	17	40
894	16	53
966	10	47
1038	1	35
1110	5	40
1182	0	36
1254	-7	36
1326	-11	59
1398	-18	47
1470	-26	34
1542	-31	52
1614	-32	64
1686	-36	29
1758	-42	53
1830	-6	69
1902	27	85
1974	31	62
2046	39	76

Run 11
20	25	51
56	31	67
100	33	59
150	27	59
206	19	66
266	16	57
330	15	46
396	18	48
464	15	39
534	17	58
606	8	33
678	9	63
750	7	51
822	3	64
894	-1	57
966	-5	36
1038	-3	47
1110	-8	38
1182	-9	49
1254	3	41
1326	18	46
1398	22	58
1470	23	67
1542	16	68
